exporte_in_das_ubrige_amerika_ohne_usa_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,283.34399999999999,0,0,11.84,0,147.672,0,61.168999999999997,0,283.34399999999999,0,0,11.84,0,147.672,0,61.168999999999997,0
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,0,0,0,0,0,0,8.0990000000000002,0,0,0,0,0,0,0,0,9.8089999999999993,0,0
C,10,Nahrungs- und Futtermittel,52337.978000000003,57666.595000000001,53298.991000000002,51309.661,44187.262999999999,56607.508000000002,62860.538999999997,63400.241000000002,66592.112999999998,52337.978000000003,57666.595000000001,53298.991000000002,51309.661,44187.262999999999,56607.508000000002,62860.538999999997,63400.241000000002,66592.112999999998
C,11,Getränke,324.09500000000003,0,380.89,219.80799999999999,0,574.29100000000005,0,0,0,324.09500000000003,0,380.89,219.80799999999999,0,574.29100000000005,0,0,0
C,13,Textilien,975.94799999999998,1061.7929999999999,255.023,285.75900000000001,424.99900000000002,889.00400000000002,992.13099999999997,735.34100000000001,851.346,975.94799999999998,1061.7929999999999,255.023,285.75900000000001,424.99900000000002,889.00400000000002,992.13099999999997,735.34100000000001,851.346
C,14,Bekleidung,723.84299999999996,540.60299999999995,850.21100000000001,650.19399999999996,342.18799999999999,549.971,1088.08,391.24700000000001,423.887,723.84299999999996,540.60299999999995,850.21100000000001,650.19399999999996,342.18799999999999,549.971,1088.08,391.24700000000001,423.887
C,15,Leder und Lederwaren,233.48599999999999,318.68900000000002,264.92399999999998,296.93599999999998,182.905,202.446,225.16800000000001,194.87799999999999,289.50200000000001,233.48599999999999,318.68900000000002,264.92399999999998,296.93599999999998,182.905,202.446,225.16800000000001,194.87799999999999,289.50200000000001
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,171.94200000000001,32.481999999999999,31.34,32.915999999999997,31.681999999999999,103.14400000000001,6.5670000000000002,17.222000000000001,176.56,171.94200000000001,32.481999999999999,31.34,32.915999999999997,31.681999999999999,103.14400000000001,6.5670000000000002,17.222000000000001,176.56
C,17,"Papier, Pappe und Waren daraus",157.63300000000001,85.938000000000002,94.75,116.379,62.292000000000002,94.763000000000005,69.656000000000006,95.825000000000003,143.822,157.63300000000001,85.938000000000002,94.75,116.379,62.292000000000002,94.763000000000005,69.656000000000006,95.825000000000003,143.822
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,64.394999999999996,84.302000000000007,26.454000000000001,26.523,44.741,36.654000000000003,92.664000000000001,30.074000000000002,24.638999999999999,64.394999999999996,84.302000000000007,26.454000000000001,26.523,44.741,36.654000000000003,92.664000000000001,30.074000000000002,24.638999999999999
C,20,Chemische Erzeugnisse,133332.508,51589.767999999996,56211.811999999998,55652.686999999998,71435.682000000001,81099.433999999994,74132.482999999993,64796.686000000002,65042.158000000003,133332.508,51589.767999999996,56211.811999999998,55652.686999999998,71435.682000000001,81099.433999999994,74132.482999999993,64796.686000000002,65042.158000000003
C,21,Pharmazeutische Erzeugnisse,5122.567,6304.1760000000004,5480.05,5487.299,6061.02,7364.67,8424.0259999999998,13584.598,9066.5229999999992,5122.567,6304.1760000000004,5480.05,5487.299,6061.02,7364.67,8424.0259999999998,13584.598,9066.5229999999992
C,22,Gummi- und Kunststoffwaren,8620.7250000000004,5020.6139999999996,11134.984,6863.4989999999998,6277.02,6026.1270000000004,7271.7839999999997,9790.1550000000007,5752.857,8620.7250000000004,5020.6139999999996,11134.984,6863.4989999999998,6277.02,6026.1270000000004,7271.7839999999997,9790.1550000000007,5752.857
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",5510.0940000000001,5858.4769999999999,5803.0889999999999,4921.6329999999998,3541.991,4291.1379999999999,4055.5619999999999,2099.9450000000002,2744.9810000000002,5510.0940000000001,5858.4769999999999,5803.0889999999999,4921.6329999999998,3541.991,4291.1379999999999,4055.5619999999999,2099.9450000000002,2744.9810000000002
C,24,Metalle,1714.232,500.20499999999998,619.4,646.91300000000001,309.75099999999998,1029.259,410.01400000000001,324.19900000000001,513.23099999999999,4489.5140000000001,927.26499999999999,646.553,2101.8690000000001,3009.98,1149.364,32416.935000000001,324.80599999999998,9685.82
C,25,Metallerzeugnisse,6376.4269999999997,6656.2129999999997,7830.2209999999995,6866.3230000000003,5741.2650000000003,6881.36,7345.9210000000003,8437.6360000000004,7655.6480000000001,6376.4269999999997,6656.2129999999997,7830.2209999999995,6866.3230000000003,5741.2650000000003,6881.36,7345.9210000000003,8437.6360000000004,7655.6480000000001
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",78746.305999999997,99247.709000000003,65575.850999999995,70425.178,72207.120999999999,54491.714,71958.076000000001,56943.408000000003,67409.460000000006,78746.305999999997,99247.709000000003,65575.850999999995,70425.178,72207.120999999999,54491.714,71958.076000000001,56943.408000000003,67409.460000000006
C,27,Elektrische Ausrüstungen,32019.415000000001,28311.052,35895.517,23648.654999999999,35050.576999999997,34463.281999999999,65959.020999999993,86279.659,40458.608999999997,32019.415000000001,28311.052,35895.517,23648.654999999999,35050.576999999997,34463.281999999999,65959.020999999993,86279.659,40458.608999999997
C,28,Maschinen,97800.479000000007,101328.234,86194.067999999999,74177.481,71041.735000000001,76481.201000000001,85432.201000000001,84024.256999999998,78898.400999999998,97800.479000000007,101328.234,86194.067999999999,74177.481,71041.735000000001,76481.201000000001,85432.201000000001,84024.256999999998,78898.400999999998
C,29,Kraftwagen und Kraftwagenteile,1307.1410000000001,739.90599999999995,554.28300000000002,596.98099999999999,553.072,815.52300000000002,9480.0360000000001,1520.021,2848.81,1307.1410000000001,739.90599999999995,554.28300000000002,596.98099999999999,553.072,815.52300000000002,9480.0360000000001,1520.021,2848.81
C,30,Sonstige Fahrzeuge,23616.668000000001,34505.940999999999,41162.523000000001,22793.643,20857.184000000001,17214.865000000002,37373.667999999998,9598.8420000000006,11537.126,23616.668000000001,34505.940999999999,41162.523000000001,22793.643,20857.184000000001,17214.865000000002,37373.667999999998,9598.8420000000006,11537.126
C,31,Möbel,115.265,230.93600000000001,837.28200000000004,46.475000000000001,250.935,118.26,156.16999999999999,89.646000000000001,277.93400000000003,115.265,230.93600000000001,837.28200000000004,46.475000000000001,250.935,118.26,156.16999999999999,89.646000000000001,277.93400000000003
C,32,"Waren, a.n.g.",27235.811000000002,40944.472999999998,41911.423999999999,28896.615000000002,26943.206999999999,20411.323,29531.707999999999,22928.271000000001,18457.41,36147.813000000002,41991.555999999997,41911.523999999998,33581.819000000003,27258.179,20411.691999999999,54626.86,26104.565999999999,18716.163
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",0,0,0,0,1037.05,0,0,0,0,0,0,0,0,1645.0840000000001,0,0,0,0
J,58,Dienstleistungen des Verlagswesens,505.15800000000002,462.77199999999999,541.39800000000002,485.44499999999999,3928.2559999999999,13741.897999999999,3999.13,4917.9049999999997,1196.8040000000001,505.15800000000002,462.77199999999999,541.39800000000002,485.44499999999999,3928.2559999999999,13741.897999999999,3999.13,4917.9049999999997,1196.8040000000001
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",114.953,125.873,185.488,108.51900000000001,66.58,77.281999999999996,80.081000000000003,201.63499999999999,137.52000000000001,114.953,125.873,185.488,108.51900000000001,66.58,77.281999999999996,80.081000000000003,201.63499999999999,137.52000000000001
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,23100.704000000002,29386.469000000001,3045.9609999999998,1776.0160000000001,3974.895,2000.9459999999999,13360.47,609.42600000000004,897.197
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,2574.2629999999999,335.64800000000002,522.85199999999998,511.13200000000001,555.94200000000001,1006.723,640.17899999999997,761.27200000000005,955.15599999999995
NA,NA,Verschiedene (weitere) Güterkategorien,120.04900000000001,325.3,164.471,2519.9470000000001,532.41999999999996,4258.53,5488.1689999999999,1523.2360000000001,2320.6729999999998,403.80200000000002,850.56399999999996,776.649,3101.3820000000001,532.41999999999996,4589.8549999999996,5816.43,1786.953,3148.741
