exporte_nach_asien_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,33.417999999999999,287.64800000000002,50.408000000000001,159.11500000000001,247.43600000000001,438.94799999999998,327.92899999999997,189.5,225.29599999999999,33.417999999999999,287.64800000000002,50.408000000000001,159.11500000000001,247.43600000000001,438.94799999999998,327.92899999999997,189.5,225.29599999999999
A,2,Forstwirtschaftliche Erzeugnisse und Dienstleistungen,0,0,0,0,0,0,0,141.84100000000001,1256.883,0,0,0,0,0,0,0,141.84100000000001,1256.883
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,0,87.165000000000006,15.38,31.260999999999999,13.717000000000001,40.061999999999998,35.847000000000001,7.5720000000000001,70.995999999999995,0,122.303,33.920999999999999,54.439,13.717000000000001,40.061999999999998,35.847000000000001,10.497,73.453999999999994
C,10,Nahrungs- und Futtermittel,116773.16800000001,141133.10999999999,110000.952,110217.947,78217.584000000003,94107.183999999994,104867.943,115527.89,116898.394,116773.16800000001,141133.10999999999,110000.952,110217.947,78217.584000000003,94107.183999999994,104867.943,115527.89,116898.394
C,11,Getränke,11299.984,16028.356,12582.985000000001,8060.8310000000001,5436.058,6439.6710000000003,4744.9369999999999,2464.3789999999999,1805.473,11299.984,16028.356,12582.985000000001,8060.8310000000001,5436.058,6439.6710000000003,4744.9369999999999,2464.3789999999999,1805.473
C,13,Textilien,5083.9549999999999,4635.7690000000002,4786.6790000000001,4873.7169999999996,4297.491,4373.0389999999998,5043.1279999999997,5698.5039999999999,5281.4719999999998,5083.9549999999999,4635.7690000000002,4786.6790000000001,4873.7169999999996,4297.491,4373.0389999999998,5043.1279999999997,5698.5039999999999,5281.4719999999998
C,14,Bekleidung,2964.9859999999999,3913.7860000000001,3152.2739999999999,2143.4140000000002,2065.857,2680.54,4157.8980000000001,3092.2330000000002,3292.125,2964.9859999999999,3913.7860000000001,3152.2739999999999,2143.4140000000002,2065.857,2680.54,4157.8980000000001,3092.2330000000002,3292.125
C,15,Leder und Lederwaren,12434.558000000001,12253.45,17359.936000000002,23034.531999999999,18895.969000000001,20364.581999999999,19129.518,19625.392,13138.800999999999,12434.558000000001,12253.45,17359.936000000002,23034.531999999999,18895.969000000001,20364.581999999999,19129.518,19625.392,13138.800999999999
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,1008.001,1426.365,518.22500000000002,1091.03,729.14599999999996,1098.422,1398.441,206.78,360.50700000000001,1008.001,1426.365,518.22500000000002,1091.03,729.14599999999996,1098.422,1398.441,206.78,360.50700000000001
C,17,"Papier, Pappe und Waren daraus",1375.5419999999999,913.976,639.46400000000006,818.61599999999999,644.44100000000003,1070.1389999999999,1298.5840000000001,1175.135,1002.41,1375.5419999999999,913.976,639.46400000000006,818.61599999999999,644.44100000000003,1070.1389999999999,1298.5840000000001,1175.135,1002.41
C,18,"Druckereileistungen und Dienstleistungen der Vervielfältigung bespielter Ton-, Bild- und Datenträger",104.191,105.572,81.366,151.541,121.26300000000001,114.82,134.00800000000001,128.24100000000001,105.798,104.191,105.572,81.366,151.541,121.26300000000001,114.82,134.00800000000001,128.24100000000001,105.798
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,18358.686000000002,9540.9570000000003,28465.373,21372.883000000002,4912.5940000000001,731.40300000000002,16094.754000000001,12113.115,22945.989000000001,18358.686000000002,9540.9570000000003,28465.373,21372.883000000002,4912.5940000000001,731.40300000000002,16094.754000000001,12113.115,22945.989000000001
C,20,Chemische Erzeugnisse,258878.10399999999,245723.04800000001,249495.70300000001,275195.826,252578.41500000001,249795.11499999999,262430.21799999999,264223.58500000002,286907.266,258878.10399999999,245723.05900000001,249495.70300000001,275200.62599999999,252578.41500000001,249795.14,262430.21799999999,264223.58500000002,286907.266
C,21,Pharmazeutische Erzeugnisse,14262.54,15156.373,16778.091,13438.775,16392.416000000001,13456.397000000001,20353.611000000001,23776.973000000002,16802.332999999999,14262.54,15156.373,16778.091,13438.775,16392.416000000001,13456.397000000001,20353.611000000001,23776.973000000002,16802.332999999999
C,22,Gummi- und Kunststoffwaren,37932.379999999997,37739.089,45547.25,48788.232000000004,40847.529000000002,50296.536999999997,45918.038,41531.735999999997,44432.580999999998,37932.379999999997,37739.089,45547.25,48788.232000000004,40847.529000000002,50296.536999999997,45918.038,41531.735999999997,44432.580999999998
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",15902.13,23205.056,21482.289000000001,21429.911,19905.191999999999,20899.772000000001,19606.037,17653.253000000001,16616.749,15902.13,23205.056,21482.289000000001,21429.911,19905.191999999999,20899.772000000001,19606.037,17653.253000000001,16616.749
C,24,Metalle,5343.4350000000004,8580.4470000000001,10592.754999999999,9947.5519999999997,10154.093999999999,11481.61,11188.653,9607.9639999999999,9002.6049999999996,3807415.2570000002,5140322.2470000004,5799917.324,2152900.2769999998,2990946.4730000002,6640333.1160000004,9816809.0930000003,7986201.5449999999,7356856.2000000002
C,25,Metallerzeugnisse,75175.259000000005,110630.754,88066.998000000007,104054.99800000001,125099.057,73834.622000000003,277277.734,114947.037,75148.982000000004,75175.259000000005,110630.754,88066.998000000007,104054.99800000001,125099.057,73834.622000000003,277277.734,114947.037,75148.982000000004
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",810570.70299999998,890739.76399999997,932669.22499999998,998068.32799999998,1047067.073,1135344.571,1277375.4040000001,1132343.5959999999,1328182.5060000001,810570.70299999998,890739.76399999997,932669.22499999998,998068.32799999998,1047067.073,1135344.571,1277375.4040000001,1132343.5959999999,1328182.5060000001
C,27,Elektrische Ausrüstungen,260816.37700000001,249925.38500000001,240048.745,240038.51800000001,230009.185,258042.777,318607.89,321297.24599999998,376172.02899999998,260816.37700000001,249925.38500000001,240048.745,240038.51800000001,230009.185,258042.777,318607.89,321297.24599999998,376172.02899999998
C,28,Maschinen,975046.94799999997,947722.59199999995,894505.31900000002,910396.16799999995,875063.96200000006,763974.02300000004,1001994.752,947989.16799999995,925144.92,975046.94799999997,947722.59199999995,894505.31900000002,910396.16799999995,875063.96200000006,763974.02300000004,1001994.752,947989.16799999995,925144.92
C,29,Kraftwagen und Kraftwagenteile,7761.116,8840.1129999999994,4453.8559999999998,5605.8720000000003,6245.0240000000003,5629.4660000000003,11155.948,7939.817,14387.405000000001,7761.116,8840.1129999999994,4453.8559999999998,5605.8720000000003,6245.0240000000003,5629.4660000000003,11155.948,7939.817,14387.405000000001
C,30,Sonstige Fahrzeuge,263230.098,200444.52600000001,65115.233999999997,50144.368999999999,25018.98,13625.004000000001,18898.809000000001,11276.034,16269.79,263230.098,200444.52600000001,65115.233999999997,50144.368999999999,25018.98,13625.004000000001,18898.809000000001,11276.034,16269.79
C,31,Möbel,1417.0360000000001,2963.4409999999998,6973.8729999999996,5104.9089999999997,1521.856,972.66200000000003,1508.921,781.649,2091.7269999999999,1417.0360000000001,2963.4409999999998,6973.8729999999996,5104.9089999999997,1521.856,972.66200000000003,1508.921,781.649,2091.7269999999999
C,32,"Waren, a.n.g.",152136.12400000001,202832.302,185765.80100000001,151314.337,121160.285,112569.726,124384.042,157367.29300000001,124370.1,173861.897,215050.351,199997.516,157530.04500000001,124236.29,121819.147,140879.11300000001,172238.25,145079.56700000001
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",13383.664000000001,17166.957999999999,16091.831,15677.985000000001,13723.136,21769.771000000001,15201.812,20890.810000000001,47446.432999999997,13383.664000000001,17166.967000000001,16091.831,15677.985000000001,13723.138999999999,21931.808000000001,15668.206,22994.132000000001,48574.561000000002
J,58,Dienstleistungen des Verlagswesens,40880.025999999998,23225.458999999999,42197.760999999999,13447.665000000001,50408.156999999999,10300.058000000001,11447.343000000001,6023.6629999999996,13651.339,40880.025999999998,23225.458999999999,42197.760999999999,13447.665000000001,50408.156999999999,10300.058000000001,11447.343000000001,6023.6629999999996,13651.339
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",669.46199999999999,2411.5010000000002,2504.547,2460.3719999999998,2570.3200000000002,1730.8240000000001,2805.3139999999999,3267.712,1375.819,669.46199999999999,2411.5010000000002,2504.547,2460.3719999999998,2570.3200000000002,1730.8240000000001,2805.3139999999999,3267.712,1375.819
M,74,"Sonstige freiberufliche, wissenschaftliche und technische Dienstleistungen",133.71700000000001,0,0,0,0,0,0,0,0,133.71700000000001,0,0,0,0,0,0,0,0
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,9649.8150000000005,20458.030999999999,10237.478999999999,17255.794000000002,7736.9269999999997,34608.644,34342.150999999998,17729.428,35361.911
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,18165.307000000001,10207.398999999999,12924.332,29230.202000000001,10093.993,8467.5290000000005,11006.475,11903.584999999999,30691.111000000001
NA,NA,Verschiedene (weitere) Güterkategorien,91.210999999999999,290.24099999999999,187.292,159.45400000000001,182.881,635.89499999999998,257.33300000000003,127.17700000000001,78.635000000000005,96.542000000000002,295.71899999999999,196.476,162.27699999999999,195.357,635.89499999999998,276.47199999999998,159.321,121.633
