exporte_in_das_ubrige_europa_ohne_eu27_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,103.012,108.72799999999999,96.358999999999995,66.494,39.783000000000001,55.83,87.483000000000004,193.80099999999999,50.531999999999996,103.012,108.72799999999999,96.358999999999995,66.494,39.783000000000001,55.83,87.483000000000004,193.80099999999999,50.531999999999996
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,39.453000000000003,60.383000000000003,23.783999999999999,27.542000000000002,0,0,18.224,99.399000000000001,10.28,39.453000000000003,60.383000000000003,23.783999999999999,27.542000000000002,0,0,18.224,99.399000000000001,10.88
C,10,Nahrungs- und Futtermittel,78196.789999999994,93666.19,94793.171000000002,81055.114000000001,57392.396000000001,61597.49,56213.027000000002,76358.547999999995,76566.269,78196.789999999994,93666.19,94793.171000000002,81055.114000000001,57392.396000000001,61597.49,56213.027000000002,76358.547999999995,76566.269
C,11,Getränke,3965.0039999999999,3868.7240000000002,5230.6149999999998,5078.6360000000004,3552.8789999999999,3986.0349999999999,3927.4940000000001,2334.3310000000001,2703.0619999999999,3965.0039999999999,3868.7240000000002,5230.6149999999998,5078.6360000000004,3552.8789999999999,3986.0349999999999,3927.4940000000001,2334.3310000000001,2703.0619999999999
C,13,Textilien,3944.442,3498.3240000000001,3256.2689999999998,3045.7669999999998,2835.4079999999999,2877.317,3773.3040000000001,3170.4720000000002,1804.6389999999999,3944.442,3498.3240000000001,3256.2689999999998,3045.7669999999998,2835.4079999999999,2877.317,3773.3040000000001,3170.4720000000002,1804.6389999999999
C,14,Bekleidung,2955.5839999999998,2766.0149999999999,3642.047,2536.029,2297.7399999999998,3305.4789999999998,4611.4740000000002,5101.8599999999997,2324.3939999999998,2955.5839999999998,2766.0149999999999,3642.047,2536.029,2297.7399999999998,3305.4789999999998,4611.4740000000002,5101.8599999999997,2324.3939999999998
C,15,Leder und Lederwaren,1795.0519999999999,2217.73,1913.9880000000001,1257.229,796.4,2519.4789999999998,1402.953,1320.704,1226.7860000000001,1795.0519999999999,2217.73,1913.9880000000001,1257.229,796.4,2519.4789999999998,1402.953,1320.704,1226.7860000000001
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,152.535,124.626,124.224,163.143,208.208,139.745,334.94200000000001,167.28399999999999,289.14400000000001,152.535,124.626,124.224,163.143,208.208,139.745,334.94200000000001,167.28399999999999,289.14400000000001
C,17,"Papier, Pappe und Waren daraus",1557.8720000000001,1011.515,899.37099999999998,945.44200000000001,707.35699999999997,1243.1389999999999,1209.1780000000001,955.03,1206.7909999999999,1557.8720000000001,1011.515,899.37099999999998,945.44200000000001,707.35699999999997,1243.1389999999999,1209.1780000000001,955.03,1206.7909999999999
C,18,"Druckereileistungen und Dienstleistungen der Vervielfältigung bespielter Ton-, Bild- und Datenträger",235.7,0,143.86500000000001,0,122.795,0,0,0,0,235.7,0,143.86500000000001,0,122.795,0,0,0,0
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,8481.2330000000002,13461.342000000001,20391.947,19319.764999999999,7597.0739999999996,2514.5439999999999,22028.06,21669.599999999999,13179.557000000001,8481.2330000000002,13461.342000000001,20391.947,19319.764999999999,7597.0739999999996,2514.5439999999999,22028.06,21669.599999999999,13179.557000000001
C,20,Chemische Erzeugnisse,127897.808,122217.966,118941.561,114598.376,106896.356,116811.107,124730.44500000001,126885.583,114435.522,127897.808,122218.046,118941.561,114598.376,106896.356,116811.107,124732.86900000001,126885.583,114435.522
C,21,Pharmazeutische Erzeugnisse,14678.27,20849.295999999998,22775.315999999999,17033.199000000001,14528.224,29144.61,11875.929,16584.476999999999,13140.665000000001,14678.27,20849.295999999998,22775.315999999999,17033.199000000001,14528.224,29144.61,11875.929,16584.476999999999,13140.665000000001
C,22,Gummi- und Kunststoffwaren,15358.537,15932.508,17667.791000000001,14775.127,9757.5640000000003,25005.52,24976.113000000001,24294.153999999999,22186.036,15358.537,15932.508,17667.791000000001,14775.127,9757.5640000000003,25005.52,24976.113000000001,24294.153999999999,22186.036
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",6445.0789999999997,5521.27,6145.9110000000001,5445.4579999999996,4937.9610000000002,4645.6459999999997,3183.0349999999999,3642.7739999999999,2825.0810000000001,6445.0789999999997,5521.27,6145.9110000000001,5445.4579999999996,4937.9610000000002,4645.6459999999997,3183.0349999999999,3642.7739999999999,2825.0810000000001
C,24,Metalle,19963.232,17137.984,18435.131000000001,18851.662,18777.292000000001,4313.7460000000001,4015.3910000000001,5316.0479999999998,5353.2280000000001,5647517.2149999999,2523228.781,423116.88099999999,8632879.7679999992,5157916.7850000001,3197689.96,2639608.5959999999,1946565.6950000001,4283894.665
C,25,Metallerzeugnisse,31806.097000000002,20737.491000000002,20666.455000000002,24081.501,21671.485000000001,21521.167000000001,22109.056,22279.143,23128.65,31806.097000000002,20737.491000000002,20666.455000000002,24081.501,21671.485000000001,21521.167000000001,22109.056,22279.143,23128.65
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",160776.64000000001,179048.56899999999,169680.66800000001,158291.59,153807.44699999999,168315.50700000001,191847.91399999999,171135.13399999999,154312.04399999999,160776.64000000001,179048.56899999999,169680.66800000001,158291.59,153807.44699999999,168315.50700000001,191847.91399999999,171135.13399999999,154312.04399999999
C,27,Elektrische Ausrüstungen,96851.073999999993,96667.900999999998,112053.41800000001,112878.777,116554.466,124147.851,100970.89,99726.055999999997,95759.692999999999,96851.073999999993,96667.900999999998,112053.41800000001,112878.777,116554.466,124147.851,100970.89,99726.055999999997,95759.692999999999
C,28,Maschinen,221354.92,228719.48699999999,249802.5,232957.86199999999,230111.17199999999,219311.32699999999,145096.152,182829.81299999999,199910.416,221354.92,228719.48699999999,249802.5,232957.86199999999,230111.17199999999,219311.32699999999,145096.152,182829.81299999999,199910.416
C,29,Kraftwagen und Kraftwagenteile,13700.378000000001,19757.616999999998,20465.973000000002,18512.839,14692.609,18680.8,14887.279,19378.650000000001,24214.686000000002,13700.378000000001,19757.616999999998,20465.973000000002,18512.839,14692.609,18680.8,14887.279,19378.650000000001,24214.686000000002
C,30,Sonstige Fahrzeuge,80917.508000000002,53223.923000000003,74257.748999999996,45552.298999999999,66565.043000000005,55581.822999999997,20946.499,15874.248,20292.115000000002,80917.508000000002,53223.923000000003,74257.748999999996,45552.298999999999,66565.043000000005,55581.822999999997,20946.499,15874.248,20292.115000000002
C,31,Möbel,1667.739,1644.816,1194.5360000000001,1397.904,766.12199999999996,938.423,1301.1300000000001,1010.603,1244.979,1667.739,1644.816,1194.5360000000001,1397.904,766.12199999999996,938.423,1301.1300000000001,1010.603,1244.979
C,32,"Waren, a.n.g.",53545.129000000001,69659.178,53969.631000000001,40668.309000000001,34335.591999999997,38082.955000000002,37637.705000000002,43837.589,30584.795999999998,60516.769,76956.774999999994,56629.474000000002,42976.17,37312.771000000001,68484.024000000005,52907.555,50860.607000000004,33687.862000000001
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",1099.1130000000001,937.39300000000003,1356.875,1770.348,1940.0250000000001,1752.59,1658.1410000000001,6357.8779999999997,7707.8450000000003,8759.68,5765.9219999999996,6063.6869999999999,6226.8469999999998,7620.9719999999998,5629.0420000000004,5586.9859999999999,8579.0010000000002,8618.39
J,58,Dienstleistungen des Verlagswesens,2607.7750000000001,1266.374,1862.0509999999999,1405.807,2388.0859999999998,6695.1229999999996,1071.432,555.649,1567.49,2607.7750000000001,1266.374,1862.0509999999999,1405.807,2388.0859999999998,6695.1229999999996,1071.432,555.649,1567.49
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",733.29300000000001,1046.46,459.10700000000003,321.35000000000002,517.94600000000003,447.85500000000002,82.087000000000003,234.536,202.779,733.29300000000001,1046.46,459.10700000000003,321.35000000000002,517.94600000000003,447.85500000000002,82.087000000000003,234.536,202.779
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,56066.209000000003,85865.5,183436.22500000001,88164.627999999997,41913.027999999998,30550.851999999999,34011.106,54021.822999999997,27764.891
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,25969.108,34795.417000000001,30043.534,24736.919000000002,11078.886,18038.77,59977.254999999997,27694.710999999999,26897.593000000001
NA,NA,Verschiedene (weitere) Güterkategorien,4.8369999999999997,212.137,5.66,161.75399999999999,22.963999999999999,177.352,121.143,172.42099999999999,118.49299999999999,4.8369999999999997,212.137,6.53,161.75399999999999,22.963999999999999,180.23099999999999,121.143,172.42099999999999,118.49299999999999
