Country,EXP,IMP,Total_Trade,GDP (Full Value),GDP_Growth_Numeric,GDP per Capita
Barbados,0,125620,125620,7169000000,0.04,24648
Belarus,5769274,540125,6309399,76208000000,0.04,8345
China,1253942331,2526153444,3780095775,18749759000000,0.05,13314
C̫te d'Ivoire,5791605,7995859,13787464,87096000000,0.06,2723
Ecuador,4065428,32476050,36541478,124676000000,0.02,6939
Guyana,0,13554,13554,24659000000,0.436,30962
Haiti,0,1937193,1937193,25285000000,0.042,2041
Israel,68005182,44928572,112933754,542285000000,0.01,54294
Kuwait,25387014,561569,25948583,160226000000,0.026000000000000002,31971
Myanmar,26675,24155696,24182371,61653000000,0.011000000000000001,1122
Niger,1263257,46446,1309703,19866000000,0.103,707
Sri Lanka,4500005,30538900,35038905,98964000000,0.05,4325
Sudan,0,10205,10205,29184000000,0.23399999999999999,594
Suriname,212115,37572,249687,4452000000,0.03,6881
Turkmenistan,674965,0,674965,68675000000,0.03,10408
