importe_aus_dem_ubrigen_amerika_ohne_usa_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,76477.184999999998,70054.039000000004,73025.413,72939.751999999993,77960.475999999995,91184.111999999994,127979.864,131760.55600000001,155502.17300000001,76477.184999999998,70054.039000000004,73025.413,72939.751999999993,77960.475999999995,91184.111999999994,127979.864,131760.55600000001,155502.17300000001
A,2,Forstwirtschaftliche Erzeugnisse und Dienstleistungen,167.446,148.535,164.96700000000001,147.03800000000001,84.995000000000005,97.813999999999993,55.325000000000003,65.489999999999995,48.113,167.446,148.535,164.96700000000001,147.03800000000001,84.995000000000005,97.813999999999993,55.325000000000003,65.489999999999995,48.113
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,229.06299999999999,264.08,153.35400000000001,150.33799999999999,94.103999999999999,72.203999999999994,150.45699999999999,131.21899999999999,123.526,239.68199999999999,264.98200000000003,154.51900000000001,155.57499999999999,115.352,107.932,160.708,162.08099999999999,158.875
C,10,Nahrungs- und Futtermittel,58382.27,52526.879999999997,53768.55,53638.616000000002,42163.004999999997,40206.548999999999,38292.879999999997,31248.637999999999,38852.735999999997,58382.27,52526.879999999997,53768.55,53638.616000000002,42163.004999999997,40206.548999999999,38292.879999999997,31248.637999999999,38852.735999999997
C,11,Getränke,12125.075999999999,13698.164000000001,11475.356,11791.201999999999,15497.898999999999,12643.199000000001,13883.674999999999,9735.7810000000009,10630.063,12125.075999999999,13698.164000000001,11475.356,11791.201999999999,15497.898999999999,12643.199000000001,13883.674999999999,9735.7810000000009,10630.063
C,12,Tabakerzeugnisse,832.86400000000003,736.36,756.72,839.29399999999998,1129.5740000000001,1235.396,1460.3820000000001,1318.2639999999999,1330.674,832.86400000000003,736.36,756.72,839.29399999999998,1129.5740000000001,1235.396,1460.3820000000001,1318.2639999999999,1330.674
C,13,Textilien,546.40099999999995,598.36599999999999,784.61,573.29399999999998,626.21699999999998,605.26900000000001,909.85699999999997,725.98900000000003,778.03599999999994,546.40099999999995,598.36599999999999,784.61,573.29399999999998,626.21699999999998,605.26900000000001,909.85699999999997,725.98900000000003,778.03599999999994
C,14,Bekleidung,3497.9520000000002,4083.46,6290.3370000000004,5384.6949999999997,4360.5630000000001,4628.2089999999998,5712.0990000000002,7182.2610000000004,7224.9669999999996,3497.9520000000002,4083.46,6290.3370000000004,5384.6949999999997,4360.5630000000001,4628.2089999999998,5712.0990000000002,7182.2610000000004,7224.9669999999996
C,15,Leder und Lederwaren,1727.8869999999999,1681.7170000000001,1843.04,1920.098,1969.1569999999999,2550.9290000000001,3795.7249999999999,3259.4780000000001,2897.373,1727.8869999999999,1681.7170000000001,1843.04,1920.098,1969.1569999999999,2550.9290000000001,3795.7249999999999,3259.4780000000001,2897.373
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,1051.8030000000001,888.41600000000005,754.46,1207.0309999999999,972.471,526.26599999999996,639.322,1535.6079999999999,407.84399999999999,1051.8030000000001,888.41600000000005,754.46,1207.0309999999999,972.471,526.26599999999996,639.322,1535.6079999999999,407.84399999999999
C,17,"Papier, Pappe und Waren daraus",575.90499999999997,778.50099999999998,474.28500000000003,1449.165,5298.7879999999996,1606.614,56.41,60.173999999999999,83.822999999999993,575.90499999999997,778.50099999999998,474.28500000000003,1449.165,5298.7879999999996,1606.614,56.41,60.173999999999999,83.822999999999993
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,158.41499999999999,278.95499999999998,339.64699999999999,302.84300000000002,349.32600000000002,416.26600000000002,348.10899999999998,271.935,557.202,158.41499999999999,278.95499999999998,339.64699999999999,302.84300000000002,349.32600000000002,416.26600000000002,348.10899999999998,271.935,557.202
C,20,Chemische Erzeugnisse,20681.07,24881.642,27743.227999999999,27759.647000000001,27457.585999999999,28773.830999999998,29497.86,20949.048999999999,24419.174999999999,20681.07,24881.642,27743.227999999999,27759.647000000001,27457.585999999999,28773.830999999998,29498.672999999999,20949.803,24419.174999999999
C,21,Pharmazeutische Erzeugnisse,16244.875,19774.371999999999,14298.653,14471.821,15822.081,37458.286999999997,33290.843999999997,58346.197999999997,84454.763999999996,16244.875,19774.371999999999,14298.653,14471.821,15822.081,37458.286999999997,33290.843999999997,58346.197999999997,84454.763999999996
C,22,Gummi- und Kunststoffwaren,6693.9970000000003,7757.7240000000002,7621.7110000000002,6039.0510000000004,3865.3069999999998,5450.1220000000003,7325.7629999999999,5723.6930000000002,7417.2420000000002,6693.9970000000003,7757.7240000000002,7621.7110000000002,6039.0510000000004,3865.3069999999998,5450.1220000000003,7325.7629999999999,5723.6930000000002,7417.2420000000002
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",594.13699999999994,534.92399999999998,1172.617,1370.2380000000001,1129.038,831.08199999999999,1115.059,1003.881,1004.218,594.13699999999994,534.92399999999998,1172.617,1370.2380000000001,1129.038,831.08199999999999,1115.059,1003.881,1004.218
C,24,Metalle,21665.285,9815.4310000000005,10007.424999999999,1033.078,850.16200000000003,983.01700000000005,624.27800000000002,1079.3910000000001,25355.343000000001,24334.945,257712.065,16149.266,1177.454,1646.0609999999999,337727.48599999998,3109620.8480000002,2390361.068,2014451.5330000001
C,25,Metallerzeugnisse,1371.1859999999999,1528.365,1438.107,1995.499,1410.414,2265.3879999999999,2597.6120000000001,2558.194,3242.24,1371.1859999999999,1528.365,1438.107,1995.499,1410.414,2265.3879999999999,2597.6120000000001,2558.194,3242.24
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",66193.951000000001,70752.491999999998,85605.982999999993,75035.304000000004,78657.207999999999,73695.48,72189.044999999998,78921.240999999995,113426.925,66193.951000000001,70752.491999999998,85605.982999999993,75035.304000000004,78657.207999999999,73695.48,72189.044999999998,78921.240999999995,113426.925
C,27,Elektrische Ausrüstungen,15869.089,15008.575999999999,16675.274000000001,16446.609,13521.329,15746.824000000001,20556.041000000001,19407.253000000001,18913.178,15869.089,15008.575999999999,16675.274000000001,16446.609,13521.329,15746.824000000001,20556.041000000001,19407.253000000001,18913.178
C,28,Maschinen,8081.4369999999999,7785.4219999999996,11706.517,10966.527,8484.7119999999995,6497.0529999999999,12029.404,11825.052,9507.8539999999994,8081.4369999999999,7785.4219999999996,11706.517,10966.527,8484.7119999999995,6497.0529999999999,12029.404,11825.052,9507.8539999999994
C,29,Kraftwagen und Kraftwagenteile,31441.115000000002,102442.359,138320.878,120135.66800000001,101352.355,96961.432000000001,132052.58799999999,131487.20699999999,91974.683999999994,31441.115000000002,102442.359,138320.878,120135.66800000001,101352.355,96961.432000000001,132052.58799999999,131487.20699999999,91974.683999999994
C,30,Sonstige Fahrzeuge,218058.323,679844.63699999999,917547.76500000001,181679.18700000001,129553.414,302497.20799999998,8562.5010000000002,15003.117,42764.093999999997,218058.323,679844.63699999999,917547.76500000001,181679.18700000001,129553.414,302497.20799999998,8562.5010000000002,15003.117,42764.093999999997
C,31,Möbel,368.91199999999998,496.37900000000002,487.65,499.93200000000002,679.86,747.75900000000001,587.78599999999994,679.44799999999998,772.34799999999996,368.91199999999998,496.37900000000002,487.65,499.93200000000002,679.86,747.75900000000001,587.78599999999994,679.44799999999998,772.34799999999996
C,32,"Waren, a.n.g.",27256.300999999999,26459.067999999999,21262.258999999998,20877.006000000001,16276.038,11138.518,11828.688,13407.737999999999,13261.326999999999,80427.334000000003,31558.505000000001,32162.232,23609.233,22678.489000000001,20535.885999999999,33405.171000000002,22597.919999999998,26821.091
J,58,Dienstleistungen des Verlagswesens,740.32500000000005,638.59500000000003,314.74799999999999,734.58199999999999,4839.62,343.69299999999998,457.43799999999999,420.78300000000002,300.33800000000002,740.32500000000005,638.59500000000003,314.74799999999999,734.58199999999999,4839.62,343.69299999999998,457.43799999999999,420.78300000000002,300.33800000000002
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",10.954000000000001,504.10599999999999,143.84700000000001,145.02699999999999,20.510999999999999,1433.8240000000001,952.39499999999998,556.803,1597.047,10.954000000000001,504.10599999999999,143.84700000000001,145.02699999999999,20.510999999999999,1433.8240000000001,952.39499999999998,556.803,1597.047
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,2155.13,22985.048999999999,1405.2049999999999,3427.9929999999999,1473.383,8661.6,2082.2359999999999,722.37,1487.8389999999999
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.36400000000003,0,2402.5070000000001,1877.2460000000001
NA,NA,Verschiedene (weitere) Güterkategorien,27.056999999999999,21.609000000000002,14.282999999999999,12.212,3.89,5.835,10.693,9.2309999999999999,11.946,223.83699999999999,54.893000000000001,386.53500000000003,185.53299999999999,55.914000000000001,5.835,145.19300000000001,9.2309999999999999,11.946
