importe_aus_asien_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,23832.248,22131.269,19817.102999999999,20131.16,19011.793000000001,23827.883000000002,25464.672999999999,22439.780999999999,27080.992999999999,23832.248,22131.269,19817.102999999999,20131.16,19011.793000000001,23827.883000000002,25464.672999999999,22439.780999999999,27080.992999999999
A,2,Forstwirtschaftliche Erzeugnisse und Dienstleistungen,499.82400000000001,276.80500000000001,342.32799999999997,450.928,471.29399999999998,418.702,518.26599999999996,465.80599999999998,348.142,499.82400000000001,276.80500000000001,342.32799999999997,450.928,471.29399999999998,418.702,518.26599999999996,465.80599999999998,348.142
A,3,Fische und Fischereierzeugnisse; Aquakulturerzeugnisse; Dienstleistungen für die Fischerei,3220.9560000000001,2819.3229999999999,2632.13,3567.8069999999998,3023.9650000000001,3158.1010000000001,2559.2020000000002,3041.672,3180.607,3584.2829999999999,2944.3,2640.616,4027.7939999999999,3040.6660000000002,3171.8330000000001,2560.6089999999999,3102.29,3196.335
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,895.48699999999997,685.95799999999997,705.00099999999998,816.03399999999999,698.91499999999996,657.68499999999995,705.44100000000003,514.05899999999997,497.87099999999998,905.29200000000003,706.88400000000001,778.06799999999998,904.548,730.601,668.44500000000005,732.25400000000002,525.19299999999998,537.71299999999997
C,10,Nahrungs- und Futtermittel,205813.55300000001,205581.014,222166.70600000001,204030.29699999999,213698.329,246924.39799999999,282335.946,218492.58499999999,250357.76000000001,205813.55300000001,205581.014,222166.70600000001,204030.29699999999,213698.329,246924.39799999999,282335.946,218492.58499999999,250357.76000000001
C,11,Getränke,4029.723,3713.4319999999998,3875.7429999999999,5559.0050000000001,4734.915,5858.2110000000002,6336.8,5760.701,5753.2749999999996,4029.723,3713.4319999999998,3875.7429999999999,5559.0050000000001,4734.915,5858.2110000000002,6336.8,5760.701,5753.2749999999996
C,12,Tabakerzeugnisse,84.516999999999996,0,0,0,0,0,0,0,0,84.516999999999996,0,0,0,0,0,0,0,0
C,13,Textilien,85667.585000000006,84583.392999999996,87304.023000000001,86220.343999999997,220540.09099999999,130666.533,108897.465,85866.637000000002,79605.328999999998,85667.585000000006,84583.392999999996,87304.023000000001,86220.343999999997,220540.09099999999,130666.533,108897.465,85866.637000000002,79605.328999999998
C,14,Bekleidung,815522.52599999995,854055.06499999994,928713.98800000001,972071.08900000004,967713.25100000005,1057290.9339999999,1151751.4720000001,1110528.0530000001,1074891.4779999999,815522.52599999995,854055.06499999994,928713.98800000001,972071.08900000004,967713.25100000005,1057290.9339999999,1151751.4720000001,1110528.0530000001,1074891.4779999999
C,15,Leder und Lederwaren,222418.125,222612.65599999999,236502.00399999999,254264.356,229721.215,257164.81700000001,277535.74400000001,262054.076,250612.894,222418.125,222612.65599999999,236502.00399999999,254264.356,229721.215,257164.81700000001,277535.74400000001,262054.076,250612.894
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,14313.071,14048.714,15949.489,16309.741,17646.377,19880.248,24193.812000000002,16553.934000000001,16154.504999999999,14313.071,14048.714,15949.489,16309.741,17646.377,19880.248,24193.812000000002,16553.934000000001,16154.504999999999
C,17,"Papier, Pappe und Waren daraus",13685.237999999999,13639.413,14202.353999999999,14326.553,16875.826000000001,21172.717000000001,25473.548999999999,28931.25,25219.982,13685.237999999999,13639.413,14202.353999999999,14326.553,16875.826000000001,21172.717000000001,25473.548999999999,28931.25,25219.982
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,249.76499999999999,111.316,318.779,263.154,389.64400000000001,646.83199999999999,1713.777,2145.5740000000001,1334.1980000000001,249.76499999999999,111.316,318.779,263.154,389.64400000000001,646.83199999999999,1713.777,2145.5740000000001,1334.1980000000001
C,20,Chemische Erzeugnisse,216397.66500000001,228301.647,263582.42200000002,251041.47700000001,234054.212,245293.924,278751.97700000001,224953.73699999999,233604.50899999999,216409.00700000001,228304.86300000001,263592.84899999999,251081.41200000001,234086.122,245353.196,278758.48,224982.1,233649.99
C,21,Pharmazeutische Erzeugnisse,22609.401999999998,26038.736000000001,31364.702000000001,33136.057000000001,43430.849000000002,60289.642999999996,70532.573999999993,54229.478999999999,59033.614000000001,22609.401999999998,26038.736000000001,31364.702000000001,33136.057000000001,43430.849000000002,60289.642999999996,70532.573999999993,54229.478999999999,59033.614000000001
C,22,Gummi- und Kunststoffwaren,147653.889,157436.87899999999,162253.193,169114.451,178368.65299999999,234470.351,222195.51500000001,196373.47099999999,190537.951,147653.889,157436.87899999999,162253.193,169114.451,178368.65299999999,234470.351,222195.51500000001,196373.47099999999,190537.951
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",39908.927000000003,38938.571000000004,47851.608999999997,48676.711000000003,47188.773000000001,58779.777000000002,61434.497000000003,50402.076000000001,46344.970999999998,39908.927000000003,38938.571000000004,47851.608999999997,48676.711000000003,47188.773000000001,58779.777000000002,61434.497000000003,50402.076000000001,46344.970999999998
C,24,Metalle,41699.002999999997,54993.334000000003,59512.927000000003,114710.306,83449.285999999993,229819.76800000001,418920.21399999998,189506.421,95573.748000000007,3800953.0269999998,5090416.108,2671009.557,3175929.8470000001,3013928.5929999999,3529291.0350000001,6365064.9249999998,7323431.6220000004,8237436.9819999998
C,25,Metallerzeugnisse,158578.44,155311.49,171528.535,165773.356,157877.49400000001,208487.573,247259.93799999999,187960.986,170073.20600000001,158578.44,155311.49,171528.535,165773.356,157877.49400000001,208487.573,247259.93799999999,187960.986,170073.20600000001
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",3155743.1170000001,3815095.0159999998,4022838.6069999998,4166635.4920000001,4197658.3890000004,4733694.7319999998,5318283.4730000002,4420926.1220000004,3966032.4029999999,3155743.1170000001,3815095.0159999998,4022838.6069999998,4166635.4920000001,4197658.3890000004,4733694.7319999998,5318283.4730000002,4420926.1220000004,3966032.4029999999
C,27,Elektrische Ausrüstungen,471366.75,488307.74800000002,525017.70400000003,568549.23400000005,582894.99100000004,705889.56799999997,871325.04099999997,742740.04799999995,740396.61699999997,471366.75,488307.74800000002,525017.70400000003,568549.23400000005,582894.99100000004,705889.56799999997,871325.04099999997,742740.04799999995,740396.61699999997
C,28,Maschinen,403284.55900000001,444847.25199999998,475742.93400000001,474263.19500000001,410254.24699999997,476314.97,494930.24099999998,484815.674,452150.66,403284.55900000001,444847.25199999998,475742.93400000001,474263.19500000001,410254.24699999997,476314.97,494930.24099999998,484815.674,452150.66
C,29,Kraftwagen und Kraftwagenteile,195251.77100000001,298359.68099999998,237835.68700000001,189051.6,198931.10699999999,281981.739,371788.44,549767.08100000001,565890.87300000002,195251.77100000001,298359.68099999998,237835.68700000001,189051.6,198931.10699999999,281981.739,371788.44,549767.08100000001,565890.87300000002
C,30,Sonstige Fahrzeuge,68609.856,73230.743000000002,79180.13,91295.269,88686.12,105140.322,117140.90399999999,93998.452000000005,81213.929999999993,68609.856,73230.743000000002,79180.13,91295.269,88686.12,105140.322,117140.90399999999,93998.452000000005,81213.929999999993
C,31,Möbel,56304.502999999997,56954.332999999999,68126.558999999994,70034.907999999996,67738.982999999993,86256.165999999997,91382.73,65650.41,69348.014999999999,56304.502999999997,56954.332999999999,68126.558999999994,70034.907999999996,67738.982999999993,86256.165999999997,91382.73,65650.41,69348.014999999999
C,32,"Waren, a.n.g.",283258.50199999998,313823.60100000002,313595.58500000002,333015.23700000002,320620.739,392511.23700000002,430037.50300000003,407874.89500000002,395441.38500000001,316683.99599999998,343361.087,335057.87800000003,347577.87199999997,331335.24099999998,406416.91200000001,461428.45600000001,426915.59600000002,412562.10499999998
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",44.234000000000002,274.03199999999998,208.34299999999999,170.268,541.70799999999997,209.316,169.33199999999999,37.090000000000003,104.7,303.09199999999998,863.34799999999996,208.37299999999999,362.78699999999998,541.70799999999997,209.316,169.34299999999999,37.090000000000003,105.16800000000001
J,58,Dienstleistungen des Verlagswesens,6314.0060000000003,7801.2879999999996,6835.3180000000002,10464.481,7497.1689999999999,7919.1210000000001,9036.2479999999996,8832.4269999999997,7262.4740000000002,6314.0060000000003,7801.2879999999996,6835.3180000000002,10464.481,7497.1689999999999,7919.1210000000001,9036.2479999999996,8832.4269999999997,7262.4740000000002
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",1350.365,3628.5819999999999,2453.8150000000001,1747.876,4898.9579999999996,3426.0369999999998,2711.8,2292.8820000000001,2425.145,1350.365,3628.5819999999999,2453.8150000000001,1747.876,4898.9579999999996,3426.0369999999998,2711.8,2292.8820000000001,2425.145
M,74,"Sonstige freiberufliche, wissenschaftliche und technische Dienstleistungen",5.2439999999999998,0,0,0,65.626999999999995,62.773000000000003,62.899000000000001,56.774999999999999,132.23500000000001,5.2439999999999998,0,0,0,65.626999999999995,62.773000000000003,62.899000000000001,56.774999999999999,132.23500000000001
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,2045.557,7197.9,9604.2219999999998,12007.34,6450.37,9087.8979999999992,8001.9930000000004,23472.758999999998,30317.348000000002
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,1390.0630000000001,1945.3620000000001,2945.402,12906.97,1156.4929999999999,2552.239,5570.2160000000003,4170.4170000000004,8736.6610000000001
NA,NA,Verschiedene (weitere) Güterkategorien,141.28899999999999,228.29400000000001,168.99,277.392,246.18700000000001,307.495,2290.86,1375.7550000000001,1300.8800000000001,141.28899999999999,228.29400000000001,168.99,277.392,246.18700000000001,307.495,2290.86,1375.7550000000001,1300.8800000000001
