importe_aus_der_eu27_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,347659.842,317204.65299999999,284182.21299999999,387270.83299999998,425568.016,461238.94799999997,479451.93199999997,470554.79800000001,474869.71299999999,347659.842,317204.65299999999,284182.21299999999,387270.83299999998,425568.016,461238.94799999997,479451.93199999997,470554.79800000001,474869.71299999999
A,2,Forstwirtschaftliche Erzeugnisse und Dienstleistungen,6522.3670000000002,6694.6949999999997,6949.125,8052.4319999999998,7422.9859999999999,8114.3019999999997,8442.0380000000005,7979.2060000000001,8174.1940000000004,6522.3670000000002,6694.6949999999997,6949.125,8052.4319999999998,7422.9859999999999,8114.3019999999997,8442.0380000000005,7979.2060000000001,8174.1940000000004
A,3,Fische und Fischereierzeugnisse; Aquakulturerzeugnisse; Dienstleistungen für die Fischerei,4012.0920000000001,3731.607,3926.0639999999999,3589.3330000000001,4087.46,3774.6689999999999,3599.9140000000002,4041.9250000000002,4169.6890000000003,4031.1610000000001,3773.788,3960.5050000000001,3717.6790000000001,4100.799,3791.3380000000002,3625.0340000000001,4128.9970000000003,4170.0770000000002
B,5,Kohle,2262.6060000000002,0,0,0,0,0,4950.643,0,0,2262.6060000000002,0,0,0,0,0,4950.643,0,0
B,6,Erdöl und Erdgas,412172.43800000002,452392.82,529658.49199999997,471473.13099999999,288993.821,531165.09100000001,2202008.0219999999,525566.24800000002,329355.76799999998,412172.43800000002,452392.82,529658.49199999997,471473.13099999999,288993.821,531165.09100000001,2202008.0219999999,525566.24800000002,329355.76799999998
B,7,Erze,171.43700000000001,192.19300000000001,101.595,131.12,611.31399999999996,330.548,198.3,255.80199999999999,524.15300000000002,171.43700000000001,192.19300000000001,101.595,131.12,611.31399999999996,330.548,198.3,255.80199999999999,524.15300000000002
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,30341.312000000002,28543.207999999999,29068.002,27495.655999999999,25833.859,28618.218000000001,29482.600999999999,26961.473999999998,24894.145,30383.163,28593.722000000002,29168.959999999999,27622.826000000001,25879.911,28723.759999999998,29587.439999999999,26999.721000000001,24932.797999999999
C,10,Nahrungs- und Futtermittel,874157.58100000001,943843.47699999996,1039780.5429999999,1080025.578,1077159.868,1163441.517,1202147.1910000001,1303048.129,1509771.0460000001,874157.58100000001,943843.47699999996,1039780.5429999999,1080025.578,1077159.868,1163441.517,1202147.1910000001,1303048.129,1509771.0460000001
C,11,Getränke,348346.89299999998,369440.06400000001,393544.66100000002,401481.30099999998,407514.92300000001,432317.20899999997,435135.62400000001,449487.10100000002,427676.86,348346.89299999998,369440.06400000001,393544.66100000002,401481.30099999998,407514.92300000001,432317.20899999997,435135.62400000001,449487.10100000002,427676.86
C,12,Tabakerzeugnisse,1636.6030000000001,1157.7049999999999,1400.9449999999999,1384.05,1808.1220000000001,1873.375,1679.26,1765.7449999999999,1912.7819999999999,1636.6030000000001,1157.7049999999999,1400.9449999999999,1384.05,1808.1220000000001,1873.375,1679.26,1765.7449999999999,1912.7819999999999
C,13,Textilien,227067.598,243171.826,247498.01199999999,247672.26699999999,242845.19399999999,258202.73199999999,246170.23,226748.49400000001,213681.22899999999,227067.598,243171.826,247498.01199999999,247672.26699999999,242845.19399999999,258202.73199999999,246170.23,226748.49400000001,213681.22899999999
C,14,Bekleidung,329452.55499999999,337184.91600000003,353409.772,332425.67,299888.22600000002,321471.88699999999,374063.77600000001,366433.06199999998,337339.15600000002,329452.55499999999,337184.91600000003,353409.772,332425.67,299888.22600000002,321471.88699999999,374063.77600000001,366433.06199999998,337339.15600000002
C,15,Leder und Lederwaren,170148.82199999999,173211.90100000001,190642.02,183837.758,157510.64499999999,158396.58499999999,196571.06599999999,198740.535,181205.726,170148.82199999999,173211.90100000001,190642.02,183837.758,157510.64499999999,158396.58499999999,196571.06599999999,198740.535,181205.726
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,218579.20800000001,232711.94099999999,249058.70600000001,233492.55100000001,214656.71599999999,265530.15700000001,261172.38200000001,216037.30799999999,210799.63699999999,218579.20800000001,232711.94099999999,249058.70600000001,233492.55100000001,214656.71599999999,265530.15700000001,261172.38200000001,216037.30799999999,210799.63699999999
C,17,"Papier, Pappe und Waren daraus",393161.71899999998,395143.37400000001,421627.92099999997,396828.478,360216.734,379688.34399999998,466780.31900000002,446475.19199999998,408568.31099999999,393161.71899999998,395143.37400000001,421627.92099999997,396828.478,360216.734,379688.34399999998,466780.31900000002,446475.19199999998,408568.31099999999
C,18,"Druckereileistungen und Dienstleistungen der Vervielfältigung bespielter Ton-, Bild- und Datenträger",11118.55,9617.875,4443.6980000000003,3889.125,3597.09,3824.6410000000001,3496.8380000000002,2812.6849999999999,2623.8820000000001,11118.55,9617.875,4443.6980000000003,3889.125,3597.09,3824.6410000000001,3496.8380000000002,2812.6849999999999,2623.8820000000001
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,886438.79500000004,940940.95799999998,1017800.552,1105879.1059999999,624402.32900000003,863018.85699999996,1806626.2760000001,1608370.0930000001,1404654.4739999999,886438.79500000004,940940.95799999998,1017800.552,1105879.1059999999,624402.32900000003,863018.85699999996,1806626.2760000001,1608370.0930000001,1404654.4739999999
C,20,Chemische Erzeugnisse,1078813.82,1148888.919,1209436.676,1178122.0819999999,1177612.338,1288161.375,1406242.4639999999,1353628.487,1327748.31,1079056.1459999999,1149117.3430000001,1209586.314,1178297.149,1177770.7450000001,1288306.378,1406381.0430000001,1353781.0830000001,1327883.1569999999
C,21,Pharmazeutische Erzeugnisse,639244.78599999996,695712.36800000002,724232.97499999998,911886.23100000003,1075814.53,1162989.4129999999,1348026.9310000001,1044971.482,1035281.028,639244.78599999996,695712.36800000002,724232.97499999998,911886.23100000003,1075814.53,1162989.4129999999,1348026.9310000001,1044971.482,1035281.028
C,22,Gummi- und Kunststoffwaren,800934.65,861231.55,888072.44099999999,851807.96499999997,814256.45499999996,923643.69200000004,970884.81299999997,893563.25699999998,859746.59,800934.65,861231.55,888072.44099999999,851807.96499999997,814256.45499999996,923643.69200000004,970884.81299999997,893563.25699999998,859746.59
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",330608.50900000002,356758.65,358138.44699999999,352978.88199999998,334106.69199999998,367157.609,385043.28499999997,357925.32199999999,348607.27100000001,330608.50900000002,356758.65,358138.44699999999,352978.88199999998,334106.69199999998,367157.609,385043.28499999997,357925.32199999999,348607.27100000001
C,24,Metalle,593609.64399999997,705638.85900000005,878070.19700000004,716385.26699999999,638672.09900000005,856850.39,1085341.202,809476.83900000004,894225.70700000005,1048008.894,1063870.899,1281200.794,2279097.3080000002,4338811.3839999996,2350794.787,1973283.899,1808856.9890000001,2038577.665
C,25,Metallerzeugnisse,709494.13300000003,690572.07499999995,787721.13699999999,771177.53099999996,707287.81099999999,820242.60699999996,867090.38399999996,808468.92700000003,669822.95299999998,709494.13300000003,690572.07499999995,787721.13699999999,771177.53099999996,707287.81099999999,820242.60699999996,867090.38399999996,808468.92700000003,669822.95299999998
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",2433867.6749999998,2281984.0469999998,2329981.0499999998,2197401.0079999999,2142460.6230000001,2134816.5780000002,2285683.0559999999,2373753.6740000001,2452582.7439999999,2433867.6749999998,2281984.0469999998,2329981.0499999998,2197401.0079999999,2142460.6230000001,2134816.5780000002,2285683.0559999999,2373753.6740000001,2452582.7439999999
C,27,Elektrische Ausrüstungen,1362274.182,1422384.983,1527327.0460000001,1515493.568,1434209.487,1573218.48,1631671.3870000001,1648876.155,1598858.702,1362274.182,1422384.983,1527327.0460000001,1515493.568,1434209.487,1573218.48,1631671.3870000001,1648876.155,1598858.702
C,28,Maschinen,2026812.73,2139388.3760000002,2298818.1260000002,2411261.2319999998,2166898.449,2290087.8489999999,2425843.361,2588633.128,2362582.798,2026812.73,2139388.3760000002,2298818.1260000002,2411261.2319999998,2166898.449,2290087.8489999999,2425843.361,2588633.128,2362582.798
C,29,Kraftwagen und Kraftwagenteile,5243947.801,5586133.0199999996,5909996.1260000002,5894200.3099999996,4702044.7879999997,4233438.182,4598946.6090000002,5335095.6950000003,4917787.0199999996,5243947.801,5586133.0199999996,5909996.1260000002,5894200.3099999996,4702044.7879999997,4233438.182,4598946.6090000002,5335095.6950000003,4917787.0199999996
C,30,Sonstige Fahrzeuge,644748.87199999997,802078.05099999998,601726.424,575362.72699999996,810155.40399999998,593419.86399999994,660538.14,696667.35800000001,736312.40099999995,644748.87199999997,802078.05099999998,601726.424,575362.72699999996,810155.40399999998,593419.86399999994,660538.14,696667.35800000001,736312.40099999995
C,31,Möbel,397345.717,407672.755,445969.62099999998,438290.75799999997,408605.80099999998,472598.26899999997,471953.74800000002,456233.82699999999,413380.82,397345.717,407672.755,445969.62099999998,438290.75799999997,408605.80099999998,472598.26899999997,471953.74800000002,456233.82699999999,413380.82
C,32,"Waren, a.n.g.",569038.60400000005,575982.94099999999,609273.31400000001,668111.05700000003,671844.36100000003,655432.62699999998,661730.74100000004,689673.78899999999,634633.34600000002,685388.473,689678.66099999996,659325.04,727003.152,902554.73,947026.36100000003,883041.32400000002,802764.92599999998,680927.13600000006
D,35,Energie und Dienstleistungen der Energieversorgung,0,27851.222000000002,24602.483,21692.91,19787.39,86367.626000000004,94316.247000000003,26986.579000000002,25934.204000000002,0,27851.222000000002,24602.483,21692.91,19787.39,86367.626000000004,94316.247000000003,26986.579000000002,25934.204000000002
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",12125.77,9023.2420000000002,11575.555,11546.127,7471.7370000000001,8180.4960000000001,11936.105,18878.091,24936.824000000001,14082.243,11139.407999999999,15103.02,15175.485000000001,8494.9840000000004,8674.7759999999998,12847.197,20101.289000000001,29171.983
J,58,Dienstleistungen des Verlagswesens,323997.65500000003,274439.05300000001,268177.451,481011.98100000003,276647.27100000001,273544.815,259558.70300000001,251668.20800000001,253334.43799999999,323997.65500000003,274439.05300000001,268177.451,481011.98100000003,276647.27100000001,273544.815,259558.70300000001,251668.20800000001,253334.43799999999
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",62909.017999999996,79911.278000000006,65814.781000000003,59486.482000000004,49845.468999999997,38551.124000000003,37946.819000000003,27361.07,19756.133999999998,62909.017999999996,79911.278000000006,65814.781000000003,59486.482000000004,49845.468999999997,38551.124000000003,37946.819000000003,27361.07,19756.133999999998
M,74,"Sonstige freiberufliche, wissenschaftliche und technische Dienstleistungen",341.78699999999998,580.11599999999999,847.45600000000002,788.11800000000005,646.10900000000004,621.18499999999995,471.23099999999999,516.45000000000005,485.59800000000001,341.78699999999998,580.11599999999999,847.45600000000002,788.11800000000005,646.10900000000004,621.18499999999995,471.23099999999999,516.45000000000005,485.59800000000001
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,51819.95,71528.808000000005,86443.698999999993,79635.301000000007,70979.001999999993,49393.646999999997,46707.093000000001,43364.773999999998,31585.511999999999
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,23164.174999999999,19629.717000000001,24877.924999999999,17221.716,10767.207,15564.161,37565.574999999997,61839.561999999998,69169.630999999994
NA,NA,Verschiedene (weitere) Güterkategorien,360386.05699999997,2647.3620000000001,2967.076,1656.191,1601.7460000000001,2381.35,40.741999999999997,2253.636,1913.1849999999999,360386.05699999997,2647.3620000000001,2967.076,1656.191,1601.7460000000001,2381.35,40.741999999999997,2253.636,1913.1849999999999
