importe_aus_dem_ubrigen_europa_ohne_eu27_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,5661.7449999999999,6170.0820000000003,5560.6840000000002,5614.6450000000004,8159.1260000000002,7983.6620000000003,7342.1729999999998,5996.7629999999999,6814.17,5661.7449999999999,6170.0820000000003,5560.6840000000002,5614.6450000000004,8159.1260000000002,7983.6620000000003,7342.1729999999998,5996.7629999999999,6814.17
A,2,Forstwirtschaftliche Erzeugnisse und Dienstleistungen,219.52799999999999,180.91900000000001,315.13299999999998,316.94799999999998,229.52099999999999,235.30799999999999,201.69800000000001,218.90799999999999,218.64500000000001,219.52799999999999,180.91900000000001,315.13299999999998,316.94799999999998,229.52099999999999,235.30799999999999,201.69800000000001,218.90799999999999,218.64500000000001
A,3,Fische und Fischereierzeugnisse; Aquakulturerzeugnisse; Dienstleistungen für die Fischerei,1227.4079999999999,1306.1969999999999,1691.9570000000001,1931.73,1805.162,2379.2359999999999,2640.0509999999999,1800.0160000000001,1897.9780000000001,1227.4079999999999,1306.1969999999999,1692.835,1931.73,1805.162,2379.2809999999999,2643.2350000000001,1801.7850000000001,1898.6089999999999
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,211.79900000000001,335.39699999999999,238.87700000000001,132.274,199.52199999999999,158.75399999999999,206.26,186.75299999999999,269.15600000000001,219.291,335.39699999999999,243.86699999999999,132.274,214.727,167.411,215.583,188.036,271.63099999999997
C,10,Nahrungs- und Futtermittel,68198.75,76115.466,80623.442999999999,82471.903000000006,94221.574999999997,116110.99,126085.70699999999,132428.38,145935.74400000001,68198.75,76115.466,80623.442999999999,82471.903000000006,94221.574999999997,116110.99,126085.70699999999,132428.38,145935.74400000001
C,11,Getränke,23723.65,25159.812000000002,24591.726999999999,23686.463,25216.625,30584.674999999999,30024.457999999999,30158.157999999999,29761.375,23723.65,25159.812000000002,24591.726999999999,23686.463,25216.625,30584.674999999999,30024.457999999999,30158.157999999999,29761.375
C,12,Tabakerzeugnisse,127.753,0,0,0,0,0,0,0,0,127.753,0,0,0,0,0,0,0,0
C,13,Textilien,25004.800999999999,25560.763999999999,25615.359,24935.652999999998,34450.233999999997,33279.881999999998,35773.498,30525.085999999999,30269.905999999999,25004.800999999999,25560.763999999999,25615.359,24935.652999999998,34450.233999999997,33279.881999999998,35773.498,30525.085999999999,30269.905999999999
C,14,Bekleidung,170649.01800000001,179504.51,189427.11600000001,192723.31700000001,193200.33300000001,214312.73499999999,241628.02499999999,229006.973,211666.47700000001,170649.01800000001,179504.51,189427.11600000001,192723.31700000001,193200.33300000001,214312.73499999999,241628.02499999999,229006.973,211666.47700000001
C,15,Leder und Lederwaren,9997.2659999999996,9477.5889999999999,10967.973,10416.790999999999,9320.3320000000003,10221.334999999999,10757.314,10303.948,11379.33,9997.2659999999996,9477.5889999999999,10967.973,10416.790999999999,9320.3320000000003,10221.334999999999,10757.314,10303.948,11379.33
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,2424.4290000000001,3209.3739999999998,3621.89,3181.8249999999998,2800.0729999999999,4524.4579999999996,3404.2429999999999,2465.4059999999999,2120.8440000000001,2424.4290000000001,3209.3739999999998,3621.89,3181.8249999999998,2800.0729999999999,4524.4579999999996,3404.2429999999999,2465.4059999999999,2120.8440000000001
C,17,"Papier, Pappe und Waren daraus",7787.3029999999999,7170.9049999999997,7496.6109999999999,9190.9240000000009,7389.98,7254.6270000000004,8857.0849999999991,8504.1260000000002,6311.2870000000003,7787.3029999999999,7170.9049999999997,7496.6109999999999,9190.9240000000009,7389.98,7254.6270000000004,8857.0849999999991,8504.1260000000002,6311.2870000000003
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,283.32,236.26599999999999,277.02600000000001,534.47799999999995,64.367999999999995,211.76400000000001,208.70500000000001,124.837,155.17599999999999,283.32,236.26599999999999,277.02600000000001,534.47799999999995,64.367999999999995,211.76400000000001,208.70500000000001,124.837,155.17599999999999
C,20,Chemische Erzeugnisse,81939.933999999994,95411.831000000006,95057.153000000006,98252.498000000007,90929.581999999995,95256.544999999998,87139.743000000002,75548.55,78187.736000000004,82006.157000000007,95412.514999999999,95188.262000000002,98360.255000000005,91169.66,95401.111000000004,87192.562999999995,75548.914999999994,78187.736000000004
C,21,Pharmazeutische Erzeugnisse,40886.413999999997,67389.077999999994,66130.251999999993,70499.388000000006,79771.025999999998,60007.093999999997,73353.432000000001,75733.324999999997,91960.388999999996,40886.413999999997,67389.077999999994,66130.251999999993,70499.388000000006,79771.025999999998,60007.093999999997,73353.432000000001,75733.324999999997,91960.388999999996
C,22,Gummi- und Kunststoffwaren,44900.567000000003,62386.536999999997,58534.616999999998,54167.021999999997,50865.188000000002,61739.56,62878.368999999999,47454.68,46457.870999999999,44900.567000000003,62386.536999999997,58534.616999999998,54167.021999999997,50865.188000000002,61739.56,62878.368999999999,47454.68,46457.870999999999
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",8149.7870000000003,9205.7659999999996,9308.277,9146.1119999999992,8462.5210000000006,10971.527,12012.807000000001,10343.081,11027.804,8149.7870000000003,9205.7659999999996,9308.277,9146.1119999999992,8462.5210000000006,10971.527,12012.807000000001,10343.081,11027.804
C,24,Metalle,23447.8,30749.852999999999,35183.769999999997,29684.923999999999,28253.577000000001,35886.53,41667.548000000003,37046.589,38073.834999999999,4176371.1189999999,3836330.977,10807173.311000001,5521386.7879999997,5889540.2929999996,20199514.129000001,4175061.4389999998,2122596.4010000001,2888851.0639999998
C,25,Metallerzeugnisse,19304.399000000001,18784.994999999999,20667.725999999999,23263.645,28456.503000000001,33001.154000000002,33661.476999999999,33031.949000000001,21436.404999999999,19304.399000000001,18784.994999999999,20667.725999999999,23263.645,28456.503000000001,33001.154000000002,33661.476999999999,33031.949000000001,21436.404999999999
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",97966.875,89386.097999999998,105327.413,106409.84600000001,90356.71,120569.677,94019.085000000006,86833.911999999997,86455.741999999998,97966.875,89386.097999999998,105327.413,106409.84600000001,90356.71,120569.677,94019.085000000006,86833.911999999997,86455.741999999998
C,27,Elektrische Ausrüstungen,46305.351999999999,53578.985999999997,54932.330999999998,70141.69,80290.39,94003.682000000001,91842.514999999999,80833.701000000001,82019.709000000003,46305.351999999999,53578.985999999997,54932.330999999998,70141.69,80290.39,94003.682000000001,91842.514999999999,80833.701000000001,82019.709000000003
C,28,Maschinen,55493.885000000002,64599.16,85308.687000000005,84628.345000000001,81527.353000000003,68878.403999999995,92017.998999999996,86671.322,98130.736000000004,55493.885000000002,64599.16,85308.687000000005,84628.345000000001,81527.353000000003,68878.403999999995,92017.998999999996,86671.322,98130.736000000004
C,29,Kraftwagen und Kraftwagenteile,402615.99300000002,393429.10800000001,441712.04800000001,398251.17599999998,349281.04100000003,287733.08299999998,299832.28100000002,339422.90399999998,347987.734,402615.99300000002,393429.10800000001,441712.04800000001,398251.17599999998,349281.04100000003,287733.08299999998,299832.28100000002,339422.90399999998,347987.734
C,30,Sonstige Fahrzeuge,52767.913,57509.576999999997,50220.163,27959.178,32229.194,17760.627,31229.843000000001,21027.681,29689.162,52767.913,57509.576999999997,50220.163,27959.178,32229.194,17760.627,31229.843000000001,21027.681,29689.162
C,31,Möbel,14068.28,14157.431,16212.482,21432.41,19493.522000000001,22870.835999999999,25178.585999999999,27844.351999999999,28273.162,14068.28,14157.431,16212.482,21432.41,19493.522000000001,22870.835999999999,25178.585999999999,27844.351999999999,28273.162
C,32,"Waren, a.n.g.",61601.985999999997,50624.271999999997,47408.283000000003,47281.002999999997,45059.262999999999,45559.75,39631.347999999998,41539.269999999997,40594.951999999997,70619.278999999995,70978.635999999999,51038.71,170843.95,57763.366999999998,125378.20299999999,43208.614999999998,48836.408000000003,47994.51
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",36.710999999999999,100.937,573.95799999999997,1019.896,204.65899999999999,173.93799999999999,159.08199999999999,617.80600000000004,855.84900000000005,37.732999999999997,100.937,589.827,1019.896,204.65899999999999,189.852,159.08199999999999,617.87400000000002,855.84900000000005
J,58,Dienstleistungen des Verlagswesens,5348.7309999999998,5858.3149999999996,4645.2870000000003,9222.0789999999997,6374.8909999999996,17663.945,13413.683999999999,11968.154,12342.328,5348.7309999999998,5858.3149999999996,4645.2870000000003,9222.0789999999997,6374.8909999999996,17663.945,13413.683999999999,11968.154,12342.328
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",943.85199999999998,1547.461,1075.171,4490.6260000000002,3489.3229999999999,2022.3050000000001,1301.742,904.18600000000004,898.13099999999997,943.85199999999998,1547.461,1075.171,4490.6260000000002,3489.3229999999999,2022.3050000000001,1301.742,904.18600000000004,898.13099999999997
M,74,"Sonstige freiberufliche, wissenschaftliche und technische Dienstleistungen",242.376,207.55799999999999,256.77499999999998,287.01299999999998,370.97699999999998,310.10300000000001,522.85400000000004,445.87200000000001,472.161,242.376,207.55799999999999,256.77499999999998,287.01299999999998,370.97699999999998,310.10300000000001,522.85400000000004,445.87200000000001,472.161
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,21370.595000000001,29605.550999999999,42480.788999999997,27677.544000000002,24876.347000000002,19093.712,12100.19,26393.687999999998,37248.588000000003
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,29587.864000000001,25368.055,17598.922999999999,23744.246999999999,9688.1990000000005,29863.814999999999,14872.816000000001,19441.149000000001,25099.379000000001
NA,NA,Verschiedene (weitere) Güterkategorien,88.180999999999997,8935.1810000000005,15246.629000000001,18241.085999999999,6363.1909999999998,11429.53,93984.298999999999,21160.815999999999,515.21,88.180999999999997,8935.1810000000005,15246.629000000001,18241.085999999999,6363.1909999999998,11429.53,93984.298999999999,21160.815999999999,515.21
