importe_aus_den_usa_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,7892.2759999999998,5529.6239999999998,3827.89,3978.1750000000002,6761.0379999999996,7269.1189999999997,4994.7740000000003,7896.3190000000004,8438.3209999999999,7892.2759999999998,5529.6239999999998,3827.89,3978.1750000000002,6761.0379999999996,7269.1189999999997,4994.7740000000003,7896.3190000000004,8438.3209999999999
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,3294.7,2467.8969999999999,2902.623,2336.9540000000002,1769.106,2028.8309999999999,2821.288,2262.4250000000002,1332.165,3471.078,2522.4699999999998,3057.1990000000001,2370.5970000000002,1788.1990000000001,2030.47,2866.3620000000001,2306.6689999999999,1374.2950000000001
C,10,Nahrungs- und Futtermittel,29597.948,26917.334999999999,28269.019,36131.805999999997,39001.337,43488.784,55828.737999999998,57593.343000000001,62595.447,29597.948,26917.334999999999,28269.019,36131.805999999997,39001.337,43488.784,55828.737999999998,57593.343000000001,62595.447
C,11,Getränke,20485.069,17940.319,15459.424999999999,13503.504000000001,12602.563,13325.123,14967.927,14177.138000000001,14393.209000000001,20485.069,17940.319,15459.424999999999,13503.504000000001,12602.563,13325.123,14967.927,14177.138000000001,14393.209000000001
C,13,Textilien,4529.4930000000004,3947.7539999999999,4563.3040000000001,4485.7139999999999,5075.76,5632.0820000000003,5568.2150000000001,5111.5609999999997,5473.1570000000002,4529.4930000000004,3947.7539999999999,4563.3040000000001,4485.7139999999999,5075.76,5632.0820000000003,5568.2150000000001,5111.5609999999997,5473.1570000000002
C,14,Bekleidung,8622.7849999999999,8701.4570000000003,9250.9339999999993,8399.6820000000007,9375.7549999999992,11398.625,10371.272000000001,8120.8440000000001,8246.4940000000006,8622.7849999999999,8701.4570000000003,9250.9339999999993,8399.6820000000007,9375.7549999999992,11398.625,10371.272000000001,8120.8440000000001,8246.4940000000006
C,15,Leder und Lederwaren,2963.5920000000001,2979.5070000000001,4411.5640000000003,3539.7910000000002,3362.7440000000001,3661.0859999999998,3473.0059999999999,2968.1680000000001,2078.2840000000001,2963.5920000000001,2979.5070000000001,4411.5640000000003,3539.7910000000002,3362.7440000000001,3661.0859999999998,3473.0059999999999,2968.1680000000001,2078.2840000000001
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,439.05,511.51400000000001,637.99199999999996,674.62099999999998,561.21199999999999,882.00699999999995,848.36099999999999,743.33399999999995,443.32799999999997,439.05,511.51400000000001,637.99199999999996,674.62099999999998,561.21199999999999,882.00699999999995,848.36099999999999,743.33399999999995,443.32799999999997
C,17,"Papier, Pappe und Waren daraus",5145.7860000000001,5238.8249999999998,6348.49,3462.8180000000002,2168.0509999999999,2242.4989999999998,2867.654,2538.0990000000002,2170.9059999999999,5145.7860000000001,5238.8249999999998,6348.49,3462.8180000000002,2168.0509999999999,2242.4989999999998,2867.654,2538.0990000000002,2170.9059999999999
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,290.93599999999998,350.01400000000001,551.44799999999998,418.935,392.75200000000001,626.37099999999998,674.221,792.37900000000002,666.38099999999997,290.93599999999998,350.01400000000001,551.44799999999998,418.935,392.75200000000001,626.37099999999998,674.221,792.37900000000002,666.38099999999997
C,20,Chemische Erzeugnisse,99083.191999999995,117965.254,115192.77499999999,112256.308,100672.753,109305.429,137454.70199999999,131727.04399999999,131086.98800000001,99113.077999999994,118004.481,115216.48699999999,112258.213,100688.07799999999,109305.66800000001,137469.27600000001,131792.74799999999,131087.125
C,21,Pharmazeutische Erzeugnisse,108162.427,155982.476,177545.77600000001,132047.024,121534.856,97311.972999999998,113029.075,99262.584000000003,90368.6,108162.427,155982.476,177545.77600000001,132047.024,121534.856,97311.972999999998,113029.075,99262.584000000003,90368.6
C,22,Gummi- und Kunststoffwaren,35523.453000000001,36764.063999999998,40965.317999999999,42020.750999999997,39817.034,43685.800999999999,56369.457000000002,42574.9,39778.819000000003,35523.453000000001,36764.063999999998,40965.317999999999,42020.750999999997,39817.034,43685.800999999999,56369.457000000002,42574.9,39778.819000000003
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",9976.4770000000008,10259.280000000001,11173.357,10707.546,9689.9,11474.893,10001.527,10088.598,7913.0649999999996,9976.4770000000008,10259.280000000001,11173.357,10707.546,9689.9,11474.893,10001.527,10088.598,7913.0649999999996
C,24,Metalle,28780.394,21803.642,27839.537,33906.75,19647.178,14883.121999999999,15711.424999999999,21243.353999999999,33216.156000000003,283671.87599999999,34525.048999999999,247060.45800000001,44166.758999999998,2257726.2969999998,2897640.827,4118353.2450000001,5061500.2609999999,2964322.3220000002
C,25,Metallerzeugnisse,25329.062999999998,24642.495999999999,27587.814999999999,30123.34,23276.156999999999,23645.116999999998,30090.241000000002,33779.781000000003,25795.775000000001,25329.062999999998,24642.495999999999,27587.814999999999,30123.34,23276.156999999999,23645.116999999998,30090.241000000002,33779.781000000003,25795.775000000001
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",345786.84899999999,303117.73499999999,305575.29499999998,371879.39399999997,330128.99599999998,323588.86900000001,426324.34299999999,413872.16399999999,371104.70500000002,345786.84899999999,303117.73499999999,305575.29499999998,371879.39399999997,330128.99599999998,323588.86900000001,426324.34299999999,413872.16399999999,371104.70500000002
C,27,Elektrische Ausrüstungen,54801.853000000003,63905.56,62552.37,76689.063999999998,65985.748999999996,73958.876000000004,97100.414000000004,102384.901,108409.38400000001,54801.853000000003,63905.56,62552.37,76689.063999999998,65985.748999999996,73958.876000000004,97100.414000000004,102384.901,108409.38400000001
C,28,Maschinen,111755.00900000001,147387.38200000001,141666.33300000001,156451.61900000001,120524.658,117411.78599999999,154555.783,162294.677,177938.598,111755.00900000001,147387.38200000001,141666.33300000001,156451.61900000001,120524.658,117411.78599999999,154555.783,162294.677,177938.598
C,29,Kraftwagen und Kraftwagenteile,641824.49,666083.75199999998,604341.19900000002,744209.83,585441.04399999999,521652.99300000002,507268.886,599056.87,547194.59699999995,641824.49,666083.75199999998,604341.19900000002,744209.83,585441.04399999999,521652.99300000002,507268.886,599056.87,547194.59699999995
C,30,Sonstige Fahrzeuge,2184077.2570000002,1016279.798,992684.52399999998,1238793.8570000001,295067.90500000003,282053.39199999999,390723.00699999998,398518.07299999997,392331.5,2184077.2570000002,1016279.798,992684.52399999998,1238793.8570000001,295067.90500000003,282053.39199999999,390723.00699999998,398518.07299999997,392331.5
C,31,Möbel,1777.5219999999999,3019.93,1821.979,2593.7420000000002,2052.0459999999998,3751.4270000000001,2897.2049999999999,4137.0680000000002,4964.7579999999998,1777.5219999999999,3019.93,1821.979,2593.7420000000002,2052.0459999999998,3751.4270000000001,2897.2049999999999,4137.0680000000002,4964.7579999999998
C,32,"Waren, a.n.g.",175868.321,151596.56200000001,178060.05600000001,174547.829,137919.489,108345.46400000001,122076.875,119512.22900000001,104915.679,237498.27799999999,168719.37400000001,208992.47500000001,193660.592,169201.12400000001,122574.36199999999,140417.304,138047.59299999999,120083.66800000001
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",29.762,7.16,83.370999999999995,8.9090000000000007,4.4139999999999997,0,34.429000000000002,9.7780000000000005,23.353000000000002,29.762,7.16,83.370999999999995,8.9090000000000007,4.4139999999999997,0,34.429000000000002,9.7780000000000005,942.84100000000001
J,58,Dienstleistungen des Verlagswesens,10150.278,5683.7910000000002,5987.4979999999996,65639.775999999998,4948.58,7009.3360000000002,10509.26,6853.1059999999998,5505.6390000000001,10150.278,5683.7910000000002,5987.4979999999996,65639.775999999998,4948.58,7009.3360000000002,10509.26,6853.1059999999998,5505.6390000000001
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",2247.6990000000001,3583.056,3115.444,3109.0189999999998,3253.944,3638.8519999999999,2769.614,2518.85,2340.7719999999999,2247.6990000000001,3583.056,3115.444,3109.0189999999998,3253.944,3638.8519999999999,2769.614,2518.85,2340.7719999999999
M,74,"Sonstige freiberufliche, wissenschaftliche und technische Dienstleistungen",40.043999999999997,17.248000000000001,0,0,0,0,165.512,0,0,40.043999999999997,17.248000000000001,0,0,0,0,165.512,0,0
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,204460.524,180959.758,192298.00700000001,91290.468999999997,88103.41,107631.429,89032.7,276256.89899999998,70691.864000000001
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,8337.4979999999996,3703.576,6000.5450000000001,8859.6659999999993,8005.7060000000001,3259.4169999999999,10531.821,7170.0370000000003,5296.8159999999998
NA,NA,Verschiedene (weitere) Güterkategorien,619.41499999999996,158.08500000000001,180.054,126.827,252.012,309.726,43.384999999999998,147.39500000000001,299.959,619.41499999999996,174.84800000000001,181.393,126.827,284.05,309.726,43.564,147.39500000000001,300.42700000000002
