Country,EXP,IMP,Grand Total,#,GDP,GDP (Full Value),GDP Growth,GDP per Capita,Year,GDP_Numeric,GDP_Growth_Numeric,GDP_Per_Capita,Trade_Intensity,Trade_Balance_Index
Afghanistan,162543,1436078,1598621,137,$18.08 billion,18080000000,1.7000000000000001E-2,417,2024,18080000000,NA,417,88.41930309734514,-0.7966459842576821
Andorra,136344,105210,241554,177,$4.04 billion,4038000000,3.4000000000000002E-2,46359,2024,4038000000,NA,46359,59.82020802377414,0.1288904344370203
Angola,166794,0,166794,69,$115.21 billion,115214000000,4.3999999999999997E-2,3034,2024,115214000000,NA,3034,1.4476886489489125,1
Aruba,85205,0,85205,176,$4.19 billion,4192000000,6.8000000000000005E-2,38414,2024,4192000000,NA,38414,20.325620229007633,1
Bahamas,144435,13227,157662,143,$15.83 billion,15833000000,3.4000000000000002E-2,38792,2024,15833000000,NA,38792,9.957809638097643,0.8322106785401682
Bahrain,9475669,5563454,15039123,98,$47.11 billion,47110000000,2.5999999999999999E-2,29654,2024,47110000000,NA,29654,319.2341965612396,0.2601358470171432
Barbados,0,125620,125620,163,$7.17 billion,7169000000,0.04,24648,2024,7169000000,0.04,24648,17.522667038638584,-1
Belarus,5769274,540125,6309399,85,$76.21 billion,76208000000,0.04,8345,2024,76208000000,0.04,8345,82.79181975645602,0.8287871792543157
Benin,1980128,253390,2233518,128,$21.49 billion,21487000000,7.4999999999999997E-2,1482,2024,21487000000,NA,1482,103.9474100618979,0.7731023434778677
Bermuda,45954,33678,79632,158,$8.98 billion (WB),8980200000,2.1100000000000001E-2,138935,2024,8980200000,NA,138935,8.86750851874123,0.15415913200723327
Bhutan,214668,0,214668,182,$3.1 billion,3098000000,4.2000000000000003E-2,3921,2024,3098000000,NA,3921,69.29244673983214,1
Burkina Faso,41834,1759881,1801715,124,$23.13 billion,23130000000,4.8000000000000001E-2,982,2024,23130000000,NA,982,77.89515780371812,-0.9535620228504508
Chile,11064368,6167793,17232161,46,$330.21 billion,330210000000,2.5999999999999999E-2,16439,2024,330210000000,NA,16439,52.185460767390445,0.2841532759588307
China,1253942331,2526153444,3780095775,2,$18.75 trillion,18749759000000,0.05,13314,2024,18749759000000,0.05,13314,201.60769933096208,-0.3365552591058357
Costa Rica,3156225,11537310,14693535,75,$95.36 billion,95365000000,4.2999999999999997E-2,17909,2024,95365000000,NA,17909,154.0768101504745,-0.5703926931129916
Curaçao,58258,0,58258,180,"$3.28 billion (WB, 2023)",3281419347,4.2000000000000003E-2,21062,2024,3281419347,NA,21062,17.753902759567048,1
Côte d'Ivoire,5791605,7995859,13787464,79,$87.1 billion,87096000000,0.06,2723,2024,87096000000,0.06,2723,158.3019197207679,-0.15987378099409724
Ecuador,4065428,32476050,36541478,65,$124.68 billion,124676000000,−2%,6939,2024,124676000000,2,6939,293.0915172126151,-0.7774896789889013
El Salvador,2054479,1135691,3190170,107,$35.37 billion,35365000000,2.5999999999999999E-2,5580,2024,35365000000,NA,5580,90.20698430651774,0.28800596833397596
Eswatini,0,489358,489358,169,$4.94 billion,4944000000,2.8000000000000001E-2,4235,2024,4944000000,NA,4235,98.9801779935275,-1
Ghana,1283036,54226916,55509952,82,$82.83 billion,82825000000,5.7000000000000002E-2,2406,2024,82825000000,NA,2406,670.207690914579,-0.9537727577209939
Guatemala,2886951,2199846,5086797,71,$113.19 billion,113190000000,3.6999999999999998E-2,6149,2024,113190000000,NA,6149,44.94033925258415,0.13507615892672736
Guinea,195111,22435,217546,122,$24.23 billion,24229000000,6.0999999999999999E-2,1572,2024,24229000000,NA,1572,8.978744479755665,0.7937447712207992
Guyana,0,13554,13554,121,$24.66 billion,24659000000,0.436,30962,2024,24659000000,0.436,30962,0.5496573259256256,-1
Haiti,0,1937193,1937193,119,$25.29 billion,25285000000,−4.2%,2041,2024,25285000000,4.2,2041,76.61431678860984,-1
Honduras,3282088,3849203,7131291,105,$37.1 billion,37100000000,3.5999999999999997E-2,3481,2024,37100000000,NA,3481,192.21808625336928,-0.07952487144333333
Iran,7426492,5776183,13202675,39,$416.68 billion,416676000000,3.6999999999999998E-2,4810,2024,416676000000,NA,4810,31.68571024009062,0.12499807804100306
Israel,68005182,44928572,112933754,29,$542.28 billion,542285000000,0.01,54294,2024,542285000000,0.01,54294,208.25535281263544,0.2043375800648582
Japan,235642046,622333975,857976021,4,$4.02 trillion,4019382000000,1E-3,32443,2024,4019382000000,NA,32443,213.45968633984032,-0.45070248997087065
Kuwait,25387014,561569,25948583,61,$160.23 billion,160226000000,−2.6%,31971,2024,160226000000,2.6,31971,161.9498895310374,0.9567167887356315
Laos,0,5883836,5883836,142,$15.91 billion,15908000000,4.2999999999999997E-2,2070,2024,15908000000,NA,2070,369.8664822730702,-1
Macao,2468756,269194,2737950,95,$50.18 billion,50182000000,8.7999999999999995E-2,72907,2024,50182000000,NA,72907,54.56040014347774,0.8033609087090706
Malawi,0,19622,19622,153,$11.8 billion,11797000000,1.7999999999999999E-2,504,2024,11797000000,NA,504,1.6633042298889549,-1
Malaysia,74725987,235959183,310685170,37,$422.23 billion,422227000000,5.0999999999999997E-2,12619,2024,422227000000,NA,12619,735.8249709279605,-0.5189600649429131
Mali,0,37305,37305,125,$22.79 billion,22789000000,4.7E-2,930,2024,22789000000,NA,930,1.6369739786739217,-1
Malta,2725653,1967156,4692809,120,$24.96 billion,24964000000,6.8000000000000005E-2,45167,2024,24964000000,NA,45167,187.9830556000641,0.16162963376519265
Mauritius,2120766,1549820,3670586,145,$14.99 billion,14986000000,4.9000000000000002E-2,11909,2024,14986000000,NA,11909,244.93433871613507,0.15554628062113243
Montenegro,1069331,504612,1573943,160,$8.27 billion,8272000000,3.2000000000000001E-2,13259,2024,8272000000,NA,13259,190.27357350096713,0.3587925356890307
Myanmar,26675,24155696,24182371,90,$61.65 billion,61653000000,−1.1%,1122,2024,61653000000,1.1,1122,392.2334841775745,-0.9977938474271195
Namibia,53787,324301,378088,150,$13.37 billion,13370000000,3.6999999999999998E-2,4472,2024,13370000000,NA,4472,28.27883320867614,-0.7154789361206915
Nepal,316190,2703352,3019542,104,$42.91 billion,42914000000,3.6999999999999998E-2,1447,2024,42914000000,NA,1447,70.36263224122663,-0.7905708879028673
Nicaragua,302240,2458348,2760588,133,$19.69 billion,19694000000,3.5999999999999997E-2,2843,2024,19694000000,NA,2843,140.17406316644664,-0.7810321569172944
Niger,1263257,46446,1309703,131,$19.87 billion,19866000000,0.10299999999999999,707,2024,19866000000,0.103,707,65.92685996174369,0.9290739961655429
Nigeria,10877067,882074,11759141,55,$252.11 billion,252109000000,4.1000000000000002E-2,1084,2024,252109000000,NA,1084,46.64308295221511,0.8499764566136251
Oman,17240624,12078180,29318804,73,$106.94 billion,106943000000,1.7000000000000001E-2,20059,2024,106943000000,NA,20059,274.1535584376724,0.1760796245303867
Pakistan,15033501,55491768,70525269,44,$371.41 billion,371408000000,2.5000000000000001E-2,1574,2024,371408000000,NA,1574,189.88624100719426,-0.5736705095020623
Panama,1024980,1814360,2839340,80,$86.52 billion,86524000000,2.7E-2,19187,2024,86524000000,NA,19187,32.81563496833249,-0.278015313417907
Paraguay,1125181,2867568,3992749,101,$44.46 billion,44458000000,4.2000000000000003E-2,6456,2024,44458000000,NA,6456,89.80946061451257,-0.43638781200621424
Peru,3460558,29429723,32890281,49,$294.68 billion,294675000000,3.3000000000000002E-2,8650,2024,294675000000,NA,8650,111.61544413336726,-0.7895695691988767
Portugal,30493293,233897610,264390903,47,$308.58 billion,308581000000,1.9E-2,28887,2024,308581000000,NA,28887,856.7957942971213,-0.76933175344539
San Marino,567591,70022,637613,192,$2.08 billion,2082000000,7.0000000000000001E-3,60811,2024,2082000000,NA,60811,306.25024015369837,0.7803620691548008
Senegal,2329709,275137,2604846,110,$32.82 billion,32816000000,6.4000000000000001E-2,1759,2024,32816000000,NA,1759,79.37731594344223,0.7887498915482911
Sierra Leone,1678494,0,1678494,161,$7.79 billion,7792000000,4.3999999999999997E-2,902,2024,7792000000,NA,902,215.41247433264888,1
Sri Lanka,4500005,30538900,35038905,74,$98.96 billion,98964000000,0.05,4325,2024,98964000000,0.05,4325,354.05708136291986,-0.7431423727425271
Sudan,0,10205,10205,113,$29.18 billion,29184000000,−23.4%,594,2024,29184000000,23.4,594,0.3496779057017544,-1
Suriname,212115,37572,249687,174,$4.45 billion,4452000000,0.03,6881,2024,4452000000,0.03,6881,56.08423180592992,0.6990472071032934
Thailand,122747052,348814472,471561524,30,$526.52 billion,526518000000,2.5000000000000001E-2,7493,2024,526518000000,NA,7493,895.6227973212692,-0.4794017503429733
Togo,2277303,330356,2607659,157,$9.78 billion,9776000000,5.2999999999999999E-2,1024,2024,9776000000,NA,1024,266.7408960720131,0.746626380213057
Turkmenistan,674965,0,674965,89,$68.67 billion,68675000000,0.03,10408,2024,68675000000,0.03,10408,9.828394612304333,1
Uganda,452900,407358,860258,91,$56.23 billion,56232000000,6.3E-2,1206,2024,56232000000,NA,1206,15.298371034286527,0.0529399319738962
Ukraine,17470083,15280932,32751015,59,$190.69 billion,190687000000,2.9000000000000001E-2,5719,2024,190687000000,NA,5719,171.75274140345172,0.06684223374451143
Uruguay,4233245,1911947,6145192,83,$80.96 billion,80961000000,3.1E-2,23186,2024,80961000000,NA,23186,75.90311384493769,0.3777421437767933
Venezuela,1220089,674762,1894851,67,$119.8 billion,119803000000,5.2999999999999999E-2,4510,2024,119803000000,NA,4510,15.81639024064506,0.2877941326257315
Vietnam,129703685,703444222,833147907,34,$459.47 billion,459472000000,7.0999999999999994E-2,4536,2024,459472000000,NA,4536,1813.2724235644391,-0.6886418752054789
